x,y
3.57399983386131E-07,1.60924994741602E-13
3.5863749303644E-07,1.63450797338435E-13
3.59875002686749E-07,1.66019974210771E-13
3.61112483915349E-07,1.6863532165874E-13
3.62349993565658E-07,1.71299762490403E-13
3.63587503215967E-07,1.7401596066939E-13
3.64824984444567E-07,1.76786469878407E-13
3.66062494094877E-07,1.79613902044527E-13
3.67300003745186E-07,1.82500516374674E-13
3.68537484973786E-07,1.8544837327012E-13
3.69774994624095E-07,1.88459511100119E-13
3.71012504274404E-07,1.91535506136467E-13
3.72249985503004E-07,1.94677633873551E-13
3.73487495153313E-07,1.97887056326728E-13
3.74725004803622E-07,2.01164352934258E-13
3.75962486032222E-07,2.04509694409766E-13
3.77199995682531E-07,2.07923045984305E-13
3.7843750533284E-07,2.11403674601641E-13
3.7967498656144E-07,2.1495034434398E-13
3.80912496211749E-07,2.18561544625731E-13
3.82150005862059E-07,2.22234984704242E-13
3.83387487090658E-07,2.25967822835287E-13
3.84624996740968E-07,2.29756930382495E-13
3.85862477969567E-07,2.33598299581916E-13
3.87099987619877E-07,2.37487762063526E-13
3.88337497270186E-07,2.41420409483282E-13
3.89574978498786E-07,2.45390901826294E-13
3.90812488149095E-07,2.49393806350703E-13
3.92049997799404E-07,2.53423123468221E-13
3.93287479028004E-07,2.57472642058926E-13
3.94524988678313E-07,2.61536315321588E-13
3.95762498328622E-07,2.65607804179347E-13
3.96999979557222E-07,2.69680862192835E-13
3.98237489207531E-07,2.7374972592965E-13
3.99474998857841E-07,2.77808661587259E-13
4.0071248008644E-07,2.81852350893593E-13
4.0194998973675E-07,2.85876266137157E-13
4.03187499387059E-07,2.89876200682336E-13
4.04424980615659E-07,2.93848626148126E-13
4.05662490265968E-07,2.97791026139185E-13
4.06899999916277E-07,3.01701396359767E-13
4.08137481144877E-07,3.0557855373807E-13
4.09374990795186E-07,3.09422416878266E-13
4.10612500445495E-07,3.13233473339051E-13
4.11849981674095E-07,3.17013037706717E-13
4.13087491324404E-07,3.20763483591215E-13
4.14325000974714E-07,3.24487686867537E-13
4.15562482203313E-07,3.28189243713979E-13
4.16799991853623E-07,3.31872670733729E-13
4.18037501503932E-07,3.35542837508319E-13
4.19274982732532E-07,3.39205161984812E-13
4.20512492382841E-07,3.42865798517221E-13
4.2175000203315E-07,3.4653106984333E-13
4.2298748326175E-07,3.5020765585725E-13
4.24224992912059E-07,3.53902785581613E-13
4.25462502562368E-07,3.57623670642493E-13
4.26699983790968E-07,3.61377697740291E-13
4.27937493441277E-07,3.65172633670117E-13
4.29175003091586E-07,3.69016053551424E-13
4.30412484320186E-07,3.72915540881927E-13
4.31649993970495E-07,3.76878908103386E-13
4.32887503620805E-07,3.80913606062079E-13
4.34124984849404E-07,3.85026930710411E-13
4.35362494499714E-07,3.89226257208384E-13
4.36600004150023E-07,3.9351841364477E-13
4.37837485378623E-07,3.97909891318844E-13
4.39074995028932E-07,4.02407088715686E-13
4.40312504679241E-07,4.07015633098688E-13
4.41549985907841E-07,4.11740592467845E-13
4.4278749555815E-07,4.16586727665191E-13
4.44025005208459E-07,4.2155775085506E-13
4.45262486437059E-07,4.26656542655075E-13
4.46499996087368E-07,4.31885416899622E-13
4.47737505737678E-07,4.37245316379255E-13
4.48974986966277E-07,4.4273604891611E-13
4.50212496616587E-07,4.4835658025175E-13
4.51449977845186E-07,4.54104051189785E-13
4.52687487495496E-07,4.59974727474469E-13
4.53924997145805E-07,4.65963015133169E-13
4.55162478374405E-07,4.72061795900695E-13
4.56399988024714E-07,4.78262835362524E-13
4.57637497675023E-07,4.84555947066746E-13
4.58874978903623E-07,4.9092944144729E-13
4.60112488553932E-07,4.97370649486086E-13
4.61349998204241E-07,5.03865158302577E-13
4.62587479432841E-07,5.10397399437442E-13
4.6382498908315E-07,5.16951298610977E-13
4.6506249873346E-07,5.23509606206199E-13
4.66299979962059E-07,5.30054610641552E-13
4.67537489612369E-07,5.36568879660658E-13
4.68774999262678E-07,5.43034665830908E-13
4.70012480491278E-07,5.49434679415123E-13
4.71249990141587E-07,5.55752840060418E-13
4.72487499791896E-07,5.61973698503133E-13
4.73724981020496E-07,5.68083170347292E-13
4.74962490670805E-07,5.74069199388202E-13
4.76200000321114E-07,5.79921129757112E-13
4.77437481549714E-07,5.85630311609764E-13
4.78675019621733E-07,5.91190730515671E-13
4.79912500850332E-07,5.96597666191724E-13
4.81149982078932E-07,6.01849389106586E-13
4.82387520150951E-07,6.06946345393674E-13
4.83625001379551E-07,6.11890429056809E-13
4.8486248260815E-07,6.16686294161613E-13
4.86100020680169E-07,6.21340500966756E-13
4.87337501908769E-07,6.25860762125424E-13
4.88574983137369E-07,6.30257066430497E-13
4.89812521209387E-07,6.34540844380332E-13
4.91050002437987E-07,6.38724232270858E-13
4.92287483666587E-07,6.42821081941732E-13
4.93525021738606E-07,6.46846187644757E-13
4.94762502967205E-07,6.50814592076854E-13
4.95999984195805E-07,6.54742547209197E-13
4.97237522267824E-07,6.58646814619552E-13
4.98475003496424E-07,6.62544010026348E-13
4.99712484725023E-07,6.66451562644546E-13
5.00950022797042E-07,6.70387072980309E-13
5.02187504025642E-07,6.7436766942419E-13
5.03424985254242E-07,6.78410997973847E-13
5.0466252332626E-07,6.82534601998508E-13
5.0590000455486E-07,6.86755250247281E-13
5.0713748578346E-07,6.91089978528183E-13
5.08375023855479E-07,6.95555445723597E-13
5.09612505084078E-07,7.00167186924171E-13
5.10849986312678E-07,7.04940723549195E-13
5.12087524384697E-07,7.09890847896744E-13
5.13325005613297E-07,7.1503075779897E-13
5.14562486841896E-07,7.20373252056451E-13
5.15800024913915E-07,7.25929903180161E-13
5.17037506142515E-07,7.31710043718503E-13
5.18274987371115E-07,7.37722072533377E-13
5.19512525443133E-07,7.43972496513728E-13
5.20750006671733E-07,7.50464768932873E-13
5.21987487900333E-07,7.57200752741073E-13
5.23225025972351E-07,7.64179651438949E-13
5.24462507200951E-07,7.7139674949699E-13
5.25699988429551E-07,7.78845109905675E-13
5.2693752650157E-07,7.86514468373002E-13
5.2817500773017E-07,7.94389985398003E-13
5.29412488958769E-07,8.02454279967858E-13
5.30650027030788E-07,8.10686407113606E-13
5.31887508259388E-07,8.19060769245521E-13
5.33124989487988E-07,8.27549569973812E-13
5.34362527560006E-07,8.36121991615825E-13
5.35600008788606E-07,8.44743385284674E-13
5.36837490017206E-07,8.53378132858783E-13
5.38075028089224E-07,8.61989057702647E-13
5.39312509317824E-07,8.70536900898107E-13
5.40549990546424E-07,8.78983417280028E-13
5.41787528618443E-07,8.87290917463485E-13
5.43025009847042E-07,8.9542189453677E-13
5.44262491075642E-07,9.03342038695453E-13
5.45500029147661E-07,9.1101971605348E-13
5.46737510376261E-07,9.18425540969872E-13
5.4797499160486E-07,9.25534981013466E-13
5.49212529676879E-07,9.32327611553874E-13
5.50450010905479E-07,9.38786493819212E-13
5.51687492134079E-07,9.44900180115465E-13
5.52925030206097E-07,9.50661723534878E-13
5.54162511434697E-07,9.56067867517563E-13
5.55399992663297E-07,9.61120456636093E-13
5.56637530735316E-07,9.65825320113897E-13
5.57875011963915E-07,9.70191392554974E-13
5.59112493192515E-07,9.74231670224505E-13
5.60350031264534E-07,9.77962136879806E-13
5.61587512493134E-07,9.81400954260512E-13
5.62824993721733E-07,9.84569134882103E-13
5.64062531793752E-07,9.87489636520207E-13
5.65300013022352E-07,9.90186705458012E-13
5.66537494250952E-07,9.92686399525137E-13
5.6777503232297E-07,9.95015896885746E-13
5.6901251355157E-07,9.97202999950737E-13
5.7024999478017E-07,9.99276590249379E-13
5.71487532852189E-07,1.00126612643098E-12
5.72725014080788E-07,1.00320125954407E-12
5.73962495309388E-07,1.00511226397478E-12
5.75200033381407E-07,1.00702965616279E-12
5.76437514610007E-07,1.00898384038739E-12
5.77674995838606E-07,1.01100554097928E-12
5.78912533910625E-07,1.01312545225933E-12
5.80150015139225E-07,1.01537382025709E-12
5.81387496367825E-07,1.01778089345874E-12
5.82625034439843E-07,1.02037650613112E-12
5.83862515668443E-07,1.02318949802162E-12
5.85099996897043E-07,1.02624819913632E-12
5.86337534969061E-07,1.02957984994521E-12
5.87575016197661E-07,1.03320976985039E-12
5.88812497426261E-07,1.03716189990381E-12
5.9005003549828E-07,1.04145798329599E-12
5.91287516726879E-07,1.04611642826738E-12
5.92524997955479E-07,1.05115296518994E-12
5.93762536027498E-07,1.05657956860873E-12
5.95000017256098E-07,1.06240304269299E-12
5.96237498484697E-07,1.06862592096355E-12
5.97475036556716E-07,1.07524522264107E-12
5.98712517785316E-07,1.08225092617308E-12
5.99949999013916E-07,1.08962734113939E-12
6.01187537085934E-07,1.09735193442227E-12
6.02425018314534E-07,1.10539400344808E-12
6.03662499543134E-07,1.11371680767638E-12
6.04900037615153E-07,1.12227677859503E-12
6.06137518843752E-07,1.13102273646441E-12
6.07375000072352E-07,1.1398989528144E-12
6.08612538144371E-07,1.14884493774533E-12
6.09850019372971E-07,1.15779533894995E-12
6.11087500601571E-07,1.1666837498874E-12
6.12325038673589E-07,1.17544292940132E-12
6.13562519902189E-07,1.18400513555253E-12
6.14800001130789E-07,1.19230606435956E-12
6.16037539202807E-07,1.20028503026155E-12
6.17275020431407E-07,1.20788521699854E-12
6.18512501660007E-07,1.21505697728934E-12
6.19750039732026E-07,1.22175750232793E-12
6.20987520960625E-07,1.22795058139089E-12
6.22225002189225E-07,1.23360877860692E-12
6.23462540261244E-07,1.23871247212503E-12
6.24700021489844E-07,1.24324910436183E-12
6.25937502718443E-07,1.2472142397565E-12
6.27175040790462E-07,1.2506102432503E-12
6.28412522019062E-07,1.25344532297687E-12
6.29650003247662E-07,1.25573379483224E-12
6.3088754131968E-07,1.25749480608894E-12
6.3212502254828E-07,1.25875151767167E-12
6.3336250377688E-07,1.25953093413979E-12
6.34600041848898E-07,1.25986296182679E-12
6.35837523077498E-07,1.25977992634492E-12
6.37075004306098E-07,1.2593161986937E-12
6.38312542378117E-07,1.25850768147276E-12
6.39550023606716E-07,1.25739168106545E-12
6.40787504835316E-07,1.25600643102654E-12
6.42025042907335E-07,1.2543909562347E-12
6.43262524135935E-07,1.25258521069651E-12
6.44500005364535E-07,1.25062953126407E-12
6.45737543436553E-07,1.24856476343123E-12
6.46975024665153E-07,1.24643253355441E-12
6.48212505893753E-07,1.24427464620473E-12
6.49450043965771E-07,1.2421333348766E-12
6.50687525194371E-07,1.24005152544178E-12
6.51925006422971E-07,1.23807218685211E-12
6.5316254449499E-07,1.23623856041657E-12
6.5440002572359E-07,1.23459426154821E-12
6.55637506952189E-07,1.23318258651249E-12
6.56875045024208E-07,1.23204656026051E-12
6.58112526252808E-07,1.23122871124766E-12
6.59350007481407E-07,1.2307703288251E-12
6.60587545553426E-07,1.23071116359629E-12
6.61825026782026E-07,1.23108871884909E-12
6.63062508010626E-07,1.23193747267041E-12
6.64300046082644E-07,1.23328810898151E-12
6.65537527311244E-07,1.23516625348165E-12
6.66775008539844E-07,1.23759177528405E-12
6.68012546611863E-07,1.24057758638203E-12
6.69250027840462E-07,1.24412797454235E-12
6.70487509069062E-07,1.24823832298067E-12
6.71724990297662E-07,1.25289359328995E-12
6.72962528369681E-07,1.25806788998226E-12
